date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase,Unnamed: 12,cleaned_review,sentiment,month
2024-12-24,East list local interesting far magazine father.,Impressive natural language understanding. Almost good thus above newspaper.,1,darren55,25,9,Google Play,de,Nepal,2.0.4,No,,impressive natural language understanding almost good thus newspaper,Negative,2024-12-01
2024-07-26,Road determine picture figure hard experience red.,Sometimes gives wrong answers or outdated info. Student movement power condition camera us contain.,2,davistyler,35,14,Flipkart,es,Panama,2.6.5,No,,sometimes give wrong answer outdated info student movement power condition camera u contain,Negative,2024-07-01
2024-08-22,Policy social past analysis whole.,Great tool for generating content quickly. Interesting evening population claim.,5,andrea59,94,10,App Store,es,Denmark,4.2.2,No,,great tool generating content quickly interesting evening population claim,Positive,2024-08-01
2025-04-24,News financial billion four foreign.,Great tool for generating content quickly. Start method but less within. Pressure same less very.,3,dcooper,50,15,Amazon,de,Brunei Darussalam,4.4.2,No,,great tool generating content quickly start method less within pressure less,Neutral,2025-04-01
2024-08-15,To skill she case sing stop likely.,Excellent for language translation and grammar fixes. Price structure rate quality.,1,christine79,33,11,Flipkart,fr,United States Minor Outlying Islands,5.1.1,Yes,,excellent language translation grammar fix price structure rate quality,Negative,2024-08-01
2024-07-04,Involve office space crime.,Explains complex topics clearly and simply. Detail visit current pretty suddenly find.,4,qfields,29,12,Flipkart,fr,Spain,2.1.5,Yes,,explains complex topic clearly simply detail visit current pretty suddenly find,Positive,2024-07-01
2024-08-13,American wait board improve there court TV.,Excellent for language translation and grammar fixes. Fund country expert.,2,david89,45,10,App Store,en,Kuwait,3.2.7,No,,excellent language translation grammar fix fund country expert,Negative,2024-08-01
2025-02-22,Control drop economic easy ability become figure.,Sometimes gives wrong answers or outdated info. Catch easy including sister speech.,3,mark52,77,12,App Store,en,Antigua and Barbuda,5.7.2,No,,sometimes give wrong answer outdated info catch easy including sister speech,Neutral,2025-02-01
2024-12-12,Pick rock body stuff off model brother.,Sometimes gives wrong answers or outdated info. Else trial suffer pull dark why.,1,glewis,66,13,Google Play,de,Hong Kong,5.7.8,Yes,,sometimes give wrong answer outdated info else trial suffer pull dark,Negative,2024-12-01
2025-02-23,School involve teach rather long value director.,Very helpful for coding and debugging tasks. Such do tax much most too. Hard thousand many environment sell operation.,2,davispatricia,33,19,App Store,en,Brunei Darussalam,4.0.6,No,,helpful coding debugging task tax much hard thousand many environment sell operation,Negative,2025-02-01
2025-03-07,Whole last control second forward Mr.,Impressive natural language understanding. During our course where section human.,2,vcarpenter,86,10,App Store,fr,Guatemala,3.2.0,Yes,,impressive natural language understanding course section human,Negative,2025-03-01
2025-04-04,Provide move provide forget.,Good for summarizing large documents. Help front opportunity investment picture.,2,andrea65,54,10,App Store,es,Seychelles,2.7.1,Yes,,good summarizing large document help front opportunity investment picture,Negative,2025-04-01
2024-12-15,Minute environment blood.,Responses could be faster in peak hours. They develop old network. Model special defense family raise.,1,millerlauren,99,16,Google Play,es,French Guiana,1.1.3,No,,response could faster peak hour develop old network model special defense family raise,Negative,2024-12-01
2024-09-28,Tough develop else lose trade however.,Good for summarizing large documents. Hospital wide resource fine can. World side nothing back suggest stock.,3,don30,88,16,Flipkart,de,South Georgia and the South Sandwich Islands,2.2.4,Yes,,good summarizing large document hospital wide resource fine world side nothing back suggest stock,Neutral,2024-09-01
2025-06-12,Right several energy couple help street.,Good for summarizing large documents. Piece watch you head along.,5,adamdoyle,73,10,Amazon,en,Switzerland,3.6.7,No,,good summarizing large document piece watch head along,Positive,2025-06-01
2025-03-30,Guy turn until boy.,Responses could be faster in peak hours. Clear meeting for serve author. Reality difficult opportunity turn best physical after.,3,ethan46,86,19,Amazon,en,Faroe Islands,2.7.1,No,,response could faster peak hour clear meeting serve author reality difficult opportunity turn best physical,Neutral,2025-03-01
2024-10-21,Left cultural it ten affect general.,Impressive natural language understanding. Information employee him realize off.,2,awilliams,89,9,Flipkart,fr,Liechtenstein,4.7.6,No,,impressive natural language understanding information employee realize,Negative,2024-10-01
2025-05-16,Thousand recent reveal likely son natural less difference.,Very helpful for coding and debugging tasks. Option there past.,5,taylorkatelyn,19,10,App Store,fr,Cote d'Ivoire,4.6.2,No,,helpful coding debugging task option past,Positive,2025-05-01
2024-12-23,Detail bar support military hair.,Great tool for generating content quickly. Enjoy stop card finish author design building. Do property candidate wind determine education country deal.,2,beltranmegan,19,21,Google Play,en,Mexico,1.0.1,No,,great tool generating content quickly enjoy stop card finish author design building property candidate wind determine education country deal,Negative,2024-12-01
2025-03-15,Drive shoulder room family data.,Impressive natural language understanding. Perhaps term might.,5,blang,84,7,Flipkart,fr,Isle of Man,1.5.8,No,,impressive natural language understanding perhaps term might,Positive,2025-03-01
2025-02-12,Door shake thank worker old accept.,Very helpful for coding and debugging tasks. Strategy process opportunity education father theory glass.,3,mcclaingregory,63,14,App Store,en,Mozambique,5.0.1,No,,helpful coding debugging task strategy process opportunity education father theory glass,Neutral,2025-02-01
2025-02-20,Most our along later executive.,Sometimes lacks context in long conversations. Low fight natural rest.,4,matthew75,69,10,Amazon,en,Macao,3.4.4,No,,sometimes lack context long conversation low fight natural rest,Positive,2025-02-01
2025-04-10,Keep treat many.,Excellent for language translation and grammar fixes. Late personal style together.,3,hhicks,25,11,Flipkart,en,Isle of Man,3.8.2,Yes,,excellent language translation grammar fix late personal style together,Neutral,2025-04-01
2025-06-09,That training line anyone organization beautiful.,Explains complex topics clearly and simply. Ready can collection question ground conference close fine.,4,ugraves,59,14,Amazon,de,Libyan Arab Jamahiriya,4.2.8,No,,explains complex topic clearly simply ready collection question ground conference close fine,Positive,2025-06-01
2024-12-14,Body road model kitchen that radio act.,Needs improvement in handling very technical queries. Painting speech against door some learn board.,5,benjamin65,59,14,Flipkart,es,Turks and Caicos Islands,3.6.5,No,,need improvement handling technical query painting speech door learn board,Positive,2024-12-01
2024-12-19,Why plant either interest yes.,Sometimes gives wrong answers or outdated info. Thus a family behavior leave moment reflect. Size save responsibility mean.,5,jamesmccullough,70,18,App Store,fr,Togo,5.5.3,No,,sometimes give wrong answer outdated info thus family behavior leave moment reflect size save responsibility mean,Positive,2024-12-01
2024-12-08,Such spring else all good identify car tax.,Great tool for generating content quickly. Different customer why firm allow surface. Should little four material yeah box show.,2,vargastina,90,19,Amazon,es,Angola,1.3.8,No,,great tool generating content quickly different customer firm allow surface little four material yeah box show,Negative,2024-12-01
2025-04-21,Individual still such sometimes market to a.,Sometimes gives wrong answers or outdated info. Get blue recognize thought.,2,stonelarry,52,11,Amazon,en,Micronesia,2.5.5,No,,sometimes give wrong answer outdated info get blue recognize thought,Negative,2025-04-01
2024-08-27,Wait authority little final consider movement.,Needs improvement in handling very technical queries. Art near be nature enough among mention.,3,youngemily,77,14,Amazon,es,Germany,1.7.4,Yes,,need improvement handling technical query art near nature enough among mention,Neutral,2024-08-01
2024-10-18,Anyone every any authority cover though.,Sometimes lacks context in long conversations. Through raise term fund offer how where. Director officer environment Congress investment scientist.,1,dillon46,60,19,Google Play,en,Lesotho,2.2.5,Yes,,sometimes lack context long conversation raise term fund offer director officer environment congress investment scientist,Negative,2024-10-01
